length,real_depth,random_depth,real_max_arity,random_max_arity
24,11,10.9,4,3.05
26,12,10.45,3,3.3
24,11,10.2,5,3.3
18,6,9.05,5,2.6
23,7,10.1,5,3.35
17,9,8.95,4,2.85
17,5,7.8,8,3.4
20,7,8.6,6,3.1
16,7,8.2,4,3.05
11,6,6.3,4,2.65
12,4,6.9,5,2.9
38,7,13.9,6,3.45
36,11,12.8,8,3.8
15,8,7.9,4,2.8
26,9,10.55,4,3.25
24,12,10.15,5,3.6
20,7,8.7,4,3.2
22,8,9.6,7,3.05
39,13,13.6,4,3.65
10,4,5.65,4,2.7
51,14,16.3,7,4.0
27,8,12.3,5,3.3
34,12,12.65,6,3.3
9,4,5.4,6,2.55
14,7,7.2,4,2.9
22,8,9.95,6,3.25
11,6,6.45,3,2.6
15,6,7.9,6,2.85
12,6,7.0,3,2.7
18,10,8.65,4,3.05
12,7,7.0,3,2.6
8,5,5.1,3,2.35
12,6,7.25,4,2.35
11,5,6.15,3,2.65
17,6,8.45,4,2.85
20,8,9.1,7,3.2
12,5,7.05,5,2.6
22,7,9.5,5,3.15
21,9,9.05,3,3.2
9,4,5.5,4,2.55
16,7,8.4,3,2.85
15,7,7.75,4,3.0
29,9,10.6,5,3.4
24,11,10.2,3,3.15
21,9,9.6,5,3.1
13,5,7.9,5,2.55
21,7,10.05,4,3.1
24,9,9.65,4,3.45
31,8,11.8,6,3.45
27,12,11.45,4,3.35
22,10,10.2,5,3.3
12,8,6.45,4,2.8
28,12,10.7,4,3.65
17,8,7.55,5,3.1
37,11,13.2,6,3.4
51,12,15.2,8,3.8
43,10,14.05,9,3.65
31,11,11.4,5,3.65
16,9,8.2,5,2.75
5,2,3.9,4,1.9
33,8,12.0,5,3.45
21,6,8.65,6,3.15
38,12,12.2,5,3.6
23,10,9.9,3,3.15
21,6,9.55,7,3.0
16,8,8.1,5,3.05
52,10,14.9,8,3.65
9,5,6.0,2,2.4
30,8,11.15,5,3.45
10,6,6.25,4,2.2
25,6,10.55,7,3.05
9,4,5.8,5,2.4
22,8,10.65,9,3.35
21,6,9.25,6,3.35
42,11,14.1,5,3.7
6,4,4.65,3,1.95
7,4,4.85,3,2.3
6,3,4.15,3,2.05
5,2,3.75,4,2.1
3,2,2.5,2,1.5
11,6,6.9,4,2.7
20,5,9.6,7,2.85
8,4,5.35,4,2.2
9,5,6.0,3,2.35
4,4,3.2,1,1.8
40,9,13.8,4,3.75
73,14,18.95,7,4.05
95,13,22.35,5,4.05
28,11,11.0,5,3.25
32,8,11.2,6,3.7
23,7,10.2,5,2.95
28,11,11.0,5,3.7
40,12,13.65,8,3.55
71,12,20.6,5,4.05
20,5,10.05,10,3.05
10,3,5.7,6,2.95
3,2,2.75,2,1.25
5,3,3.9,3,1.9
13,6,6.55,3,2.65
10,5,5.85,5,2.5
8,3,5.15,4,2.35
3,2,2.75,2,1.25
7,3,4.45,4,2.5
20,7,9.35,7,3.05
13,7,6.65,4,2.9
16,7,7.5,3,2.85
28,11,12.0,5,3.55
18,7,8.65,5,2.9
22,10,10.2,5,3.3
18,6,9.0,5,3.1
22,7,9.6,5,3.3
20,7,8.65,5,3.25
11,4,6.15,4,2.55
19,7,8.95,5,3.15
25,10,10.5,4,3.2
18,7,9.05,5,2.95
8,4,5.25,4,2.4
7,3,5.0,4,2.05
26,13,11.2,5,3.25
12,6,7.5,4,2.5
8,3,5.3,6,2.4
7,3,4.75,4,2.4
16,11,8.1,4,2.8
14,4,7.7,5,2.5
21,10,9.7,4,3.05
13,4,7.2,7,2.9
9,2,5.5,8,2.7
26,15,11.0,4,3.1
18,10,8.1,3,3.15
14,5,7.2,3,2.8
39,12,14.25,4,3.65
11,5,6.4,3,2.55
20,5,9.5,4,2.95
14,5,6.95,5,2.9
17,6,8.5,7,3.05
24,9,10.05,4,3.15
10,6,5.6,3,2.95
46,12,15.75,5,3.7
26,8,9.8,5,3.5
37,9,13.65,5,3.5
50,10,15.05,8,3.75
39,10,13.75,4,3.8
14,6,7.3,3,2.8
20,6,8.45,6,2.95
10,5,5.75,4,2.5
33,11,12.0,4,3.5
37,11,12.95,4,3.75
12,6,6.85,4,2.75
14,5,8.2,6,2.6
15,8,7.1,5,3.35
9,3,5.65,5,2.3
5,3,3.6,3,2.1
23,6,10.85,6,3.15
10,5,5.7,4,2.45
8,4,5.3,5,2.35
26,8,10.75,8,3.35
15,7,7.55,4,3.05
36,13,12.05,4,3.55
21,8,10.25,3,3.05
17,8,8.2,5,2.95
20,8,9.2,6,3.1
8,3,5.1,5,2.45
9,3,5.75,5,2.4
5,2,3.5,4,2.2
10,6,6.05,3,2.65
15,8,7.9,3,2.85
19,5,9.2,5,2.9
18,5,8.85,6,3.1
28,5,12.2,10,3.3
5,3,3.7,3,2.0
13,5,6.9,4,2.9
9,3,5.6,6,2.45
21,9,8.95,5,3.65
62,20,18.15,5,3.75
33,11,12.35,6,3.5
8,3,5.55,5,2.3
4,2,3.2,3,1.8
6,4,4.35,3,2.1
14,5,7.35,6,2.8
24,7,9.6,4,3.25
20,7,9.4,4,3.2
9,4,5.9,3,2.3
18,7,8.7,5,3.05
15,7,8.05,4,2.7
3,2,2.6,2,1.4
7,3,4.85,5,2.4
22,6,9.65,7,3.25
13,3,6.55,9,2.8
32,9,11.5,5,3.6
21,8,9.65,4,3.3
5,4,3.8,2,1.95
13,8,6.95,4,2.9
28,6,11.0,4,3.4
40,11,13.1,4,3.45
15,4,7.3,4,3.0
27,10,10.75,4,3.5
15,6,7.9,4,3.05
8,4,5.6,4,2.25
26,8,11.1,4,3.3
42,12,13.75,5,3.6
16,8,8.25,3,2.6
24,8,9.95,4,3.35
20,12,8.6,3,3.2
18,8,8.8,5,3.0
8,3,5.15,5,2.45
25,7,10.8,5,3.0
20,9,8.85,4,3.25
20,6,8.85,7,3.15
16,7,7.7,4,3.0
15,5,7.7,5,3.15
6,3,4.45,4,2.25
20,10,9.65,4,3.25
28,6,11.35,6,3.2
5,2,3.65,4,2.05
12,5,6.6,4,2.85
7,3,4.8,5,2.25
6,3,4.4,4,2.2
50,14,14.45,5,4.2
15,7,7.95,3,3.25
14,7,7.45,3,2.95
37,11,12.3,9,3.55
29,7,11.6,4,3.25
28,7,11.9,7,3.4
10,5,6.05,3,2.55
17,7,8.2,3,2.8
48,8,14.85,7,3.85
12,5,6.6,4,2.9
27,8,10.1,5,3.55
21,8,10.3,5,3.3
3,2,2.7,2,1.3
25,6,11.05,4,3.2
12,4,6.9,3,2.75
31,11,11.15,6,3.7
7,4,4.7,3,2.45
6,3,4.35,4,2.2
15,7,7.95,3,2.75
9,3,5.4,6,2.45
7,3,5.1,5,2.2
18,9,8.1,4,3.05
6,3,4.5,3,2.05
5,3,3.75,3,2.05
25,9,11.05,7,3.35
10,4,6.35,5,2.45
37,11,14.15,5,3.35
10,4,6.05,4,2.85
16,6,8.2,4,2.85
13,5,7.0,5,2.45
19,6,8.25,6,3.05
9,3,5.65,6,2.55
13,8,7.8,3,2.6
17,6,8.95,5,2.95
12,5,6.5,4,2.65
11,6,6.45,4,2.45
20,6,9.65,5,3.2
9,6,5.55,3,2.2
12,4,6.25,5,2.75
15,9,7.75,3,3.0
9,4,5.45,5,2.35
12,6,6.75,3,2.85
10,5,5.85,5,2.85
21,6,9.05,8,3.25
34,11,13.1,5,3.85
37,15,14.25,6,3.45
11,5,6.2,4,2.7
